id;Название;Ссылка;Цена;Адресс;Застройщик;Время создания
93;1-к квартира, 37.3 м², 1/10 эт.;https://www.avito.ru//tyumen/kvartiry/1-k_kvartira_37.3_m_110_et._1857843248;2 550 000  ₽;микрорайон Мыс, Судоремонтная ул., 28к2р-н Ленинский;19 часов назад;19 часов назад
94;2-к квартира, 46.8 м², 5/21 эт.;https://www.avito.ru//tyumen/kvartiry/2-k_kvartira_46.8_m_521_et._1909078376;4 300 000  ₽;ЖК «City Zen» (Сити Дзен)ул. Профсоюзная, д. 63р-н Центральный;Агентство20 часов назад;20 часов назад
95;Студия, 22.5 м², 8/10 эт.;https://www.avito.ru//tyumen/kvartiry/studiya_22.5_m_810_et._1921676168;1 370 000  ₽;ЖК «Москва»ул. Интернациональная, стр. 199р-н Калининский;Агентство20 часов назад;20 часов назад
96;2-к квартира, 52 м², 4/4 эт.;https://www.avito.ru//tyumen/kvartiry/2-k_kvartira_52_m_44_et._1842983285;3 000 000  ₽;СКАНДИА. Квартал у озераул. Лесобазовская/Западносибирская, жилые домар-н Ленинский;1 день назад;1 день назад
97;1-к квартира, 35.8 м², 10/10 эт.;https://www.avito.ru//tyumen/kvartiry/1-k_kvartira_35.8_m_1010_et._1948984523;2 596 000  ₽;ЖК «Акватория»ул. Павла Никольского, д. 2р-н Ленинский;"ООО ""СЗ СБК""21 час назад";21 час назад
98;3-к квартира, 92.7 м², 6/8 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_92.7_m_68_et._1912761871;7 490 000  ₽;ЖК «Речной порт», 1 кв. 2022 годаул. Профсоюзная, д. 6р-н Центральный;"Жилой район ""Речной порт"", застройщик Брусника21 час назад";21 час назад
99;3-к квартира, 91 м², 11/16 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_91_m_1116_et._1827779343;5 430 000  ₽;Квартал «Октябрьский», 2 кв. 2021 годаул. Воронинская, д. 41р-н Калининский;Квартал «Октябрьский», застройщик Брусника21 час назад;21 час назад
100;3-к квартира, 83 м², 4/9 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_83_m_49_et._1865622072;5 710 000  ₽;Мкр. «Видный», 1 кв. 2022 годаул. Федюнинского, стр. 20р-н Восточный;Микрорайон «Видный», застройщик Брусника21 час назад;21 час назад
101;3-к квартира, 88.6 м², 13/16 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_88.6_m_1316_et._1795573049;5 540 000  ₽;Квартал «Октябрьский», 2 кв. 2021 годаул. Воронинская, д. 41р-н Калининский;Квартал «Октябрьский», застройщик Брусника21 час назад;21 час назад
102;4-к квартира, 116.7 м², 1/16 эт.;https://www.avito.ru//tyumen/kvartiry/4-k_kvartira_116.7_m_116_et._1763338240;8 600 000  ₽;Квартал «Октябрьский»ул. Воронинская, д. 43р-н Калининский;Квартал «Октябрьский», застройщик Брусника21 час назад;21 час назад
