id;type_of_participation;official_builder;name_of_build;decoration;floor;floor_count;house_type;num_of_rooms;total_area;living_area;kitchen_area;deadline;phone
16; ДДУ по ФЗ 214; ООО «СЗ СБК»;  ЖК «Акватория» Корпус, строение; ; 10; 10; монолитный; 2-комнатные; 64.3 м²; 28.2 м²; 18.4 м²; 1 кв. 2022 года ;73452549600
33; ДДУ по ФЗ 214; ООО «Брусника»;  ЖК «Европейский квартал» Корпус, строение; чистовая; 12; 16; монолитный; студии; 28 м²; ; ; 4 кв. 2021 года ;79044958527
50; Другое; ОАО «ТДСК»;  ЖР «Ново-Патрушево» Отделка; ; 14; 16; панельный; 1-комнатные; 46 м²; ; ; сдан ;79821304348
67; ДДУ по ФЗ 214; ООО «Специализированный Застройщик «Меридиан Констракшн Тюмень» (ранее ООО «Меридиан Констракшн Тюмень»);  ЖК «Заречный» Корпус, строение; ; 3; 20; монолитный; 2-комнатные; 58.2 м²; ; ; 1 кв. 2021 года ;73452579911
84; Другое; ООО «ТСЗ»;  Мкр. «Правобережный» Корпус, строение; ; 16; 17; монолитный; 3-комнатные; 106.3 м²; ; 33.5 м²; сдан ;79222651372
100; ДДУ по ФЗ 214; ООО «Брусника»;  Квартал «Октябрьский» Корпус, строение; чистовая; 13; 16; монолитный; 3-комнатные; 88.6 м²; 39.8 м²; ; 2 кв. 2021 года ;73452667418
10; ДДУ по ФЗ 214; ООО «Брусника»;  Квартал «Октябрьский» Корпус, строение; чистовая; 1; 16; монолитный; 4-комнатные; 116.7 м²; 42 м²; ; 2 кв. 2021 года ;73452667418
